inRace,timestamp,engineMaxRPM,engineIdleRPM,engineRPM,carAccelerationX,carAccelerationY,carAccelerationZ,carVelocityX,carVelocityY,carVelocityZ,carAngularVelocityX,carAngularVelocityY,carAngularVelocityZ,carYaw,carPitch,carRoll,suspensionTravelNormalizedFL,suspensionTravelNormalizedFR,suspensionTravelNormalizedRL,suspensionTravelNormalizedRR,tireSlipRatioFL,tireSlipRatioFR,tireSlipRatioRL,tireSlipRatioRR,wheelRotationSpeedFL,wheelRotationSpeedFR,wheelRotationSpeedRL,wheelRotationSpeedRR,wheelOnRumbleFL,wheelOnRumbleFR,wheelOnRumbleRL,wheelOnRumbleRR,wheelInPuddleDepthFL,wheelInPuddleDepthFR,wheelInPuddleDepthRL,wheelInPuddleDepthRR,forceFeedbackRumbleFL,forceFeedbackRumbleFR,forceFeedbackRumbleRL,forceFeedbackRumbleRR,tireSlipAngleFL,tireSlipAngleFR,tireSlipAngleRL,tireSlipAngleRR,tireSlipCombinedFL,tireSlipCombinedFR,tireSlipCombinedRL,tireSlipCombinedRR,suspensionTravelFL,suspensionTravelFR,suspensionTravelRL,suspensionTravelRR,carID,carPerformanceClass,carPerformanceIndex,carDrivetrainType,carCylinderCount,carPositionX,carPositionY,carPositionZ,carSpeed,enginePower,engineTorque,tireTemperatureFL,tireTemperatureFR,tireTemperatureRL,tireTemperatureRR,engineBoost,engineFuel,distanceTravelled,raceBestLap,raceLastLap,raceCurrentLap,raceTime,raceLap,racePosition,inputThrottle,inputBrake,inputClutch,inputHandbrake,inputGear,inputSteering,normalizedDrivingLine,normalizedAIBrakeDifference
1,137714953,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.2166748046875,0,0,0,0,0,0,1,0,0,0
1,137715000,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.2497863769531,0,0,0,0,255,255,1,0,0,0
1,137715015,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.2828674316406,0,0,0,0,255,255,1,0,0,0
1,137715046,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.3158874511719,0,0,0,0,255,255,1,0,0,0
1,137715093,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.3493347167969,0,0,0,0,255,255,1,0,0,0
1,137715093,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.3828430175781,0,0,0,0,255,255,1,0,0,0
1,137715109,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.41656494140625,0,0,0,0,255,255,1,0,0,0
1,137715125,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.4500732421875,0,0,0,0,255,255,1,0,0,0
1,137715125,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.48309326171875,0,0,0,0,255,255,1,0,0,0
1,137715140,8999.9951171875,799.99951171875,700.9545288085938,0,0,0,0,0,0,0,0,0,4.039611667394638e-8,0.010601088404655457,0.00008043972047744319,0.40619194507598877,0.40619194507598877,0.37356817722320557,0.37356817722320557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,5,998,2,8,2702.830078125,270.9032897949219,-4342.58984375,0,0,0,43.260137769911026,43.260137769911026,43.260137769911026,43.260137769911026,-14.699999809265137,1,0,0,0,0,394.5126647949219,0,0,0,0,255,255,1,0,0,0
